"regions","indicators","banks","currency-type","monthly-income","insurance-companies","type-of-insurance","economic-activity","countries","foreign-currency","assets","liabilities","Unit","Date","Value"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M11","25834300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M12","25830400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M1","25918100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M2","25931900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M3","26403713000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M4","26390300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M5","26537100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M6","26320700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M7","26175800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M8","26282487138.148"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M9","26408400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M10","26438500000"
